Red,Green,Blue,Name
64,128,0,forestgreen
64,128,16,forestgreen
64,128,32,forestgreen
64,128,48,darkolivegreen
64,128,64,seagreen
64,128,80,seagreen
64,128,96,seagreen
64,128,112,seagreen
64,128,128,seagreen
64,128,144,steelblue
64,128,160,steelblue
64,128,176,steelblue
64,128,192,steelblue
64,128,208,royalblue
64,128,224,royalblue
64,128,240,royalblue
64,144,0,forestgreen
64,144,16,forestgreen
64,144,32,forestgreen
64,144,48,forestgreen
64,144,64,seagreen
64,144,80,seagreen
64,144,96,seagreen
64,144,112,seagreen
64,144,128,mediumseagreen
64,144,144,cadetblue
64,144,160,steelblue
64,144,176,steelblue
64,144,192,steelblue
64,144,208,steelblue
64,144,224,cornflowerblue
64,144,240,cornflowerblue
64,160,0,forestgreen
64,160,16,forestgreen
64,160,32,forestgreen
64,160,48,forestgreen
64,160,64,seagreen
64,160,80,seagreen
64,160,96,mediumseagreen
64,160,112,mediumseagreen
64,160,128,mediumseagreen
64,160,144,cadetblue
64,160,160,cadetblue
64,160,176,steelblue
64,160,192,steelblue
64,160,208,steelblue
64,160,224,cornflowerblue
64,160,240,cornflowerblue
64,176,0,forestgreen
64,176,16,limegreen
64,176,32,limegreen
64,176,48,limegreen
64,176,64,limegreen
